Model name,Manufacturer,Description,Type,Year released,Height,Depth,Width,Weight,Housing material,Power,Operating power: min. [V]:,Operating power: max. [V]:,Power consumption,Internal power supply:,External power supply:,Internal Battery,Certifications:,Rechargeable with (auto)battery :,Direct car connection cable available :,Environment,Minimum Operating Temperature,Maximum Operating Temperature,Humidity resistance:,Water sand and dust proof:,Shock and vibration proof:,ROHS compliance,WEEE compliance,Performance,No. channels:,Max. simultaneous tracked channels:,Tracked satellite signals:,SBAS differential signals:,Type of measurements:,Reacqisition time [s]:,RTK Network Compatibility:,MRS functionality:,Horizontal uncertainity,code: DGNSS/RTC (constant part) [m]:,code: DGNSS/RTC (variable part) [ppm]:,phase: RTK rapid static (constant part) [m]:,phase: RTK rapid static (variable part) [ppm]:,phase: RTK kinematic (constant part) [m]:,phase: RTK kinematic (variable part) [ppm]:,phase: static post processing (constant part) [m]:,phase: static post processing (variable part) [ppm]:,phase: kinematic post processing (constant part) [m]:,phase: kinematic post processing (variable part) [ppm]:,Initialization time on the fly [s]:,Range on the fly [km]:,RTK network solution methods:,Recording,Memory medium :,Data capacity [MB]:,Type of data (on board recording):,Data input :,Communication: general,Communication ports:,Simultaneous links:,PPS Out:,Bluetooth :,Communication: links,Radio modems :,GSM; UMTS phone modems:,CDMA phone modems:,Landline modems:,Communication: Protocols,RTCM standards for differential data:,CMR standards for differential data:,Other formats for differential data:,NMEA output format:,other output formats:,L-Band Compatible:,Configuration method :,More information,Distinguishable features :
APS-U Base,Septentrio,NA,NA,2013,0.54,0.157,0.165,1.5,Aluminium,,9,30,10,No,Yes,0,IP67; RoHS; CE; FCC Class B Part 15,No,Yes,,-30,65,MIL-STD-810G; Method 507.5; Procedure 1,MIL-STD-810G; Method 510.5; Procedure 1,MIL-STD-810G; Method 516.6/514.6; Procedure 1/11,Y,N,,136,136,"GPS - L1/L2/L2C/L5
GLONASS - L!/L2
GALILEO - L1/E5a/E5b
Compass - Compass Ready
SBAS - WAAS; EGNOS",WAAS; EGNOS,full carrier phase; C/A code; P code; C code,1.2,Y,Y,,0.5,0,0.006,0.5,0.006,0.5,0.005,0.5,0.06,0.5,7,20,VRS; FKP; RTCM3,,Internal SD,2000,SBF & NMEA,None,,Bluetooth; Ethernet; USB and Serial ports,Y,Y,Y,,Internal and external,Internal,None,None,,RTCM2.x; RTCM3.x,CMR; CMR+,TERRASTAR; VERIPOS,Version 2.30,SBF,Yes; TERRASTAR L-Band corrections,On-board configuration,,"136 Channels for L1/L2 GPS; GLONASS; SBAS
GNSS Heading & RTK
TERRASTAR L-Band corrections
Bluetooth; Ethernet; USB & Serial ports"
GeoMax Zenith 25,GeoMax,NA,NA,2013,0.095,0.198,0.198,1.2,Polymer,,10.5,28,2,7.4V; 2.2Ah,10.5 to 28V DC,7,FCC; CE,Removable rechargeable battery,Y,,-40,65,100%,IP68,Withstands pole topple over,Y,Y,,120,120,GPS L1/L2/L2C;  GLONASS L1/L2,No,Full carrier phase,10,Y,NA,,0.25,NA,0.005,0.5,0.01,1,0.003,0.1,0.01,1,15,50,VRS; FKP; RTCM3,,Micro SD Card,4000,MDB,Keypad,,RS232; Bluetooth class 2,Y,N,Y,,PacificCrest protocol,2G  Quad-band  GSM,No,No,,Version 3,NA,NA,No,NA,No,PC or field software,,NA
GeoMax Zenith10/20 series,GeoMax,NA,NA,2012,NA,NA,NA,3.07,Polymer,,NA,NA,NA,7.4V; 2.5Ah,9 to 18V DC,5,FCC; CE,removeable rechargeable battery,Y,,-30,60,100%,IP67,Withstands pole topple,Y,Y,,120,120,GPS L1/L2; GLONASS L1/L2,WAAS; EGNOS; GAGAN; MSAS,full carrier phase,10,Y,NA,,NA,NA,0.01,1,0.01,1,0.005,0.5,0.005,0.5,15,50,VRS; FKP; RTCM3;,,Internal; microSD card,256,Internal data format,Keypad,,RS232; USB; Bluetooth,Y,N,Y,,Satel or PacificCrest,Telit GSM,NA,NA,,version 2.x; 3,CMR; CMR+,NA,NMEA,NA,NA,NA,,NA
F55 GNSS Handhelder,"Suzhou FOIF CO.,LTD.",NA,NA,2013,0.056,0.234,0.099,0.895,Plastic,,11.1,11.1,0.3,2500,N,8,ROHS; CE,Rechargeable Li-Ion battery,Yes,,-20,60,95%,IP65,1.2m to plywood over cencrete,Y,Y,,120,120,GPS; GLONASS; GALILEO; CAMPASS; SBAS,Yes,C/A code; P code; C code,10,Y,Y,,0.005,1,0.02,1,0.03,2,0.01,2,0.03,2,10,25,VRS; FKP; PRS,,FLASH,256,Binary,pen; keys; qwerty keyboard,,2 serial ports; USB; Radio; GSM,N,N,Y,,N,Internal and external,optional,None,,version 2.x; 3.x,CMR; CMR+,RTCA(optional),NMEA 0183,Binary,L1; L2; L2C,FOIF survey; FOIF FieldGenius; FOIF SuperGIS,,F55 GNSS Handhelder; high precision GNSS positioning technology and GIS combined perfectly
A100 Reference Receiver,"Suzhou FOIF CO.,LTD.",NA,NA,2012,0.055,0.265,0.13,1.5,Aluminium,,NA,NA,2,Optional,12VDC,NA,CE; ROHS,NA,NA,,-30,65,100%,IP67,1.5m drop,Y,N,,220,220,GPS; GLONASS; Galileo; Compass,WAAS; EGNOS; GAGAN; MSAS,full carrier phase; C/A code; P code; C code,1,Y,NA,,0.25,1,0.01,1,0.008,1,0.003,1,NA,NA,10,25,VRS; FKP; PRS,,SD card,4000,Binary,keyboard,,RS232; Bluetooth; Network,Y,N,Y,,Optional,Optional,Optional,Optional,,RTCM 2.X; RTCM 3.X,CMR; CMR+,RTCA (Optional),NMEA-0183 GSV; AVR; RMC; HDT;VGK; VHD; ROT; GGK; G,Trimble GSOF,L1 C/A; L2E; L2C; L5,FOIF Survey; FOIF FieldGenius,,NA
F60 GNSS Receiver,"Suzhou FOIF CO.,LTD.",NA,NA,2012,0.055,0.265,0.13,1.5,Aluminium,,NA,NA,2.2,Optional,12VDC,NA,CE; ROHS,None,Optional,,-30,65,100%,IP67,1.5m drop,Y,N,,220,220,GPS; GLONASS; Galileo;Compass,WAAS; ENGOS; MASAS,full carrier phase; C/A code; P code; C code,1,Y,NA,,0.25,1,0.01,1,0.008,1,0.003,1,NA,NA,10,NA,VRS; FKP; PRS,,SD card,4000,Binary,Keyboard,,RS232; USB; SD card; Bluetooth; Radio,Y,Y,Y,,Satel; FDL,Internal and external,Internal and external(optional),Optional,,RTCM 2.X; RTCM3.X,CMR; CMR+,RTCA optional,NMEA-0183 GSV; AVR; RMC; HDT;VGK; VHD; ROT; GGK,Trimble GSOF,L1 C/A; L2E; L2C; L5; L1 P; L2 P,FOIF Survey; FOIF FieldGenius,,NA
A30 GNSS Receiver,"Suzhou FOIF CO.,LTD.",A30 is a new generation GNSS Receiver of FOIF; it features of professional GNSS Satellite tracking (GPS; Glonass; Galileo; Beidou...) and equipped with industry standard GNSS enginne(Trimble; NovAtel) and electronic bubble and tilt sensor; excellent performance and high accuracy ensured.,NA,2012,0.11,0.2,0.2,1.5,Acrylonitrile-ethylene-styrene,,7,18,2.2,7.4V,Jul-18,8,CE; ROHS,Rechargeable Li-Ion battery,Standard,,-30,65,100%,IP67,2m drop onto hard surfaces,Y,N,,220,220,GPS; GLONASS; SBAS; GALILEO; Compass,WAAS; EGNOS; GAGAN; MSAS,full carrier phase; C/A code; P code; C code,1,Y,NA,,0.25,1,0.01,1,0.008,1,0.003,1,NA,NA,10,25,VRS; FKP; PRS,,TF card,4000,Binary,Keyboard,,2 serial ports; USB; Radio; GSM,Y,N,Y,,PCC; Satel,Internal and external,optional,optional,,version 2.x; 3.x,CMR; CMR+,RTCA(optional),NMEA 0183,Binary,L1 C/A; L2E; L2C; L5; L1 P; L2P,FOIF survey; FOIF FieldGenius,,NA
SC200,Stonex srl,NA,NA,2013,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,CE; RoHS,NA,NA,,-30,65,100%,IP65,Y,NA,NA,,220,220,GPS; GLONASS; SBAS; GALILEO compliant; COMPASS,NA,NA,1,Y,NA,,NA,NA,0.002,0.3,NA,NA,NA,NA,NA,NA,10,NA,NA,,512MB System memory + 512 MB RAM,4000,NA,NA,,1 USB OTG port; 1 LAN Ethernet port; 2 x Rs232 ports (one full function; one 3-pin,Y,NA,Y,,NA,NA,NA,NA,,version 2.1; 2.3; 3.0,CMR; CMR+,NA,Available,NA,L1 C/A; L2E; L2C; L5,PC Software,,NA
S9 III,Stonex srl,NA,NA,2012,NA,NA,NA,1.2,NA,,NA,NA,3.8,7.2,NA,4,CE; RoHS; FCC,NA,NA,,-30,60,NA,IP67,Survive a 2m pole drop on concrete,NA,NA,,220,220,GPS; GLONASS; SBAS; Optinal Galileo; Compass,Yes,RTK; Static; Fast static; S&G,1,Y,Y,,0.4,3,0.003,0.5,0.01,1,NA,NA,NA,NA,15,NA,CMR; CMR+; RTCM 2.3; RTCM 3.0; RTCM 3.1,,Flash 256MB,1600,NA,NA,,7-pins Lemo; 5-pins Lemo; USB connector,NA,NA,NA,,Bluetooth; GPRS,GPRS,NA,NA,,Available,NA,NA,Available,NA,L1; L2,GPRS,,NA
S7 G,Stonex srl,NA,NA,2012,0.234,0.056,0.099,0.895,NA,,NA,NA,3.5,11.1v,NA,8,CE; RoHS; FCC,NA,NA,,-20,60,5%~95% RH (non-condensing),IP65,Yes; internal test,NA,NA,,120,120,GPS (L1 C/A; L1; L2; L2C); GLONASS (L1 C/A; L1; L2); GALILEO (E1 test); COMPASS; SBAS,Yes,RTK,35,Y,Y,,0.4,3,0.005,3,0.02,2,NA,NA,NA,NA,10,NA,RTCM 2.1. 2.3; 3.0; 3.1; 3.2; CMR; CMR+; RTCA,,Flash 256MB + 4GB,1600,NA,NA,,Mini waterproof USB connector; 802.11b/g Wireless LAN; Built-in GPRS/GSM Comm. module CDGE Support,NA,NA,NA,,Bluetooth; Wifi,NA,GPRS,NA,,Available,NA,NA,Available,NA,L1; L2,GPRS,,NA
S8,Stonex srl,NA,NA,2011,0.96,1.86,0.59,1.2,Rugged plastic,,NA,NA,3.8,7.2 V,9V to 15V DC,4,CE; RoHS; FCC,Y,Y,,-30,60,100%,IP67,Y,Y,NA,,120,120,GPS; GLONASS; COMPASS reserved; SBAS,SBAS,RTK; Static; Fast static; S&G,1,Y,NA,,NA,NA,0.005,0.5,0.01,1,NA,NA,NA,NA,15,NA,CMR; CMR+; RTCM 2.3; RTCM 3.0; RTCM 3.1,,Internal memory 256 MB,4000,.STH,NA,,7-pins Lemo; 5-pins Lemo; USB connector,Y,Y,Y,,Bluetooth; GPRS,GPRS,NA,NA,,version 2.1; 2.3; 3.0; 3.1,CMR; CMR+,NA,NMEA 0183 and detaileNovAtel ASCII and binary logs,NA,L1; L2; L5,PC Software,,NA
S9 III PLUS,Stonex srl,NA,NA,2014,NA,NA,NA,1.2,NA,,NA,NA,3.8,7.2 V,NA,4,CE; RoHS; FCC,NA,NA,,-30,60,NA,IP67,Y,Y,NA,,220,220,GPS L1/L2/L5 ; GLONASS; GALILEO; COMPASS,SBAS,RTK; Static; Fast static; S&G,1,Y,Y,,NA,NA,0.0025,0.3,0.008,1,NA,NA,NA,NA,15,NA,CMR; CMR+; RTCM 2.3; RTCM 3.0; RTCM 3.1,,Flash 256MB,1600,NA,NA,,7-pins Lemo; 5-pins Lemo; USB connector,NA,NA,NA,,Bluetooth; GPRS,GPRS,NA,NA,,Available,NA,NA,Available,NA,L1; L2; L5,GPRS,,"INTEGRATED GNSS ANTENNA:
High accuracy four constellation microstrip antenna; zero-phase center; with internal multipath suppressive board."
S8 PLUS,Stonex srl,NA,NA,2014,0.96,1.86,0.59,1.2,Rugged plastic,,NA,NA,3.8,7.4V,9V to 15V,4,CE; RoHS; FCC,Y,Y,,-30,60,100%,IP67,Y,Y,NA,,120,120,GPS L1/L2/L5 ; GLONASS; GALILEO; COMPASS; SBAS; QZSS,SBAS,RTK; Static; Fast static; S&G,1,Y,NA,,NA,NA,0.005,0.5,0.01,1,NA,NA,0.01,1,15,NA,CMR; CMR+; RTCM 2.3; RTCM 3.0; RTCM 3.1,,Internal memory 256 MB,4000,.STH,Serial port; usb cable,,7-pins Lemo; 5-pins Lemo; USB connector,Y,Y,Y,,Bluetooth; GPRS,GPRS,NA,NA,,version 2.1; 2.3; 3.0; 3.1,CMR; CMR+,NA,NMEA 0183 and detaileNovAtel ASCII and binary logs,NA,Y,PC Software,,"INTEGRATED GNSS ANTENNA:
High accuracy four constellation microstrip antenna; zero-phase center; with internal multipath suppressive board"
APS-NR2,Altus,NA,NA,2014,0.069,NA,0.167,0.7,Lexan,,9,30,3.5,2 x 3400 mAh,Yes,10,FCC; CE,No,Yes,,-40,65,100%,IP67,2 m drop;,Y,Y,,132,132,"GPS L1; L2; L2C
GLONASS L1; L2
SBAS",WAAS; EGNOS; GAGAN,full carrier; C/A code;,1.2,Y,N,,0.5,0.9,0.003,0.5,0.006,0.5,0.002,0.5,0.008,1,7,30,VRS; FKP; RTCM v2.2; 2.3; 3.0; 3.1; CMR; CMR+,,Flash,8192,SBF; NMEA,internal,,USB,Y,N,Y,,N,Y,N,N,,Y,Y,N,Y,NA,Y,web interface,,"132 Channel GPS+GLONASS+SBAS receiver
Integrated Quad-Band GSM/GPRS/EDGE+HSPA Modem
Integrated Wi-Fi
Integrated Bluetooth
Web Interface configuration"
APS-3L,Altus,NA,NA,2012,0.524,0.428,0.206,1.3,Lexan,,7.2,7.2,1,2 Li-Ion 5000mAh,Cable,10,CE; FCC Class B Part 15,Y,N,,-20,65,95% non-condensing,IP67,2m drop,Y,Y,,136,27,GPS L1/L2/L5; GLONASS L1/L2,WAAS; EGNOS,Full carrier phase; C/A; P; C,1.2,Y,N,,0.35,NA,0.002,0.5,0.01,1,0.002,0.5,0.01,1,7,20,VRS; FKP; PRS; RTCM3,,SD card,2,SBF raw data,Depends on Data Collector,,2 RS232,Y,N,Y,,internal,internal,Bluetooth or Cable,N,,version 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,version 2.3,NA,Terrastar-D; Terrastar-M,NA,,The APS-3L features a high precision GNSS satellite receiver with embedded TERRASTAR L-Band capability; designed to provide seamless RTK and Precise Point Positioning.
APS-T,Altus,NA,NA,2013,0.524,0.428,0.206,1.2,Lexan,,7.2,7.2,NA,2 Li-Ion 5000mAh,Cable,8,CE; FCC Class B Part 15,Y,N,,-20,65,95% non-condensing,IPX67,2m drop,Y,Y,,132,29,NA,WAAS; EGNOS; GAGAN; MSAS,Full carrier phase; C/A; P; C,1.2,N,NA,,0.35,NA,NA,NA,NA,NA,0.002,0.5,0.01,1,NA,NA,NA,,SD Card,2000,SBF Raw data,Depends on Data Collector,,2 RS232,Y,N,Y,,N,N,N,N,,NA,NA,NA,NA,NA,Terrastar-D; Terrastar-M,PC/Handheld,,GPS + GLONASS and Precise Point Positioning (PPP) with L-Band corrections from TERRASTAR delivered in a small and light design for ultraportability.
APS-3Gx,Altus,NA,NA,2010,0.524,0.428,0.206,1.2,Lexan,,7.2,7.2,NA,2 Li-Ion 5000mAh,Cable,10,CE; FCC Class B Part 15,Y,N,,-20,65,95% non-condensing,IPX67,2m drop,Y,Y,,136,27,GPS L1/L2/L5; GLONASS L1/L2; GALILEO L1/E5a/E5b; Compass Ready,WAAS; EGNOS,Full carrier phase; C/A; P; C,1.2,Y,NA,,0.35,NA,0.002,0.5,0.01,1,0.002,0.5,0.01,1,7,20,VRS; FKP; PRS; RTCM3,,SD Card,2000,SBF Raw data,Depends on Data Collector,,2 RS232,Y,N,Y,,Y,Y,Bluetooth or Cable,N,,version 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,version 2.3,NA,N,PC/Handheld,,NA
APS-3Gu,Altus,NA,NA,2010,0.524,0.428,0.206,1.2,Lexan,,7.2,7.2,NA,2 Li-Ion 5000mAh,Cable,10,CE; FCC Class B Part 15,Y,N,,-20,65,95% non-condensing,IPX67,2m drop,Y,Y,,136,27,GPS L1/L2/L5; GLONASS L1/L2; GALILEO L1/E5a/E5b; Compass Ready,WAAS; EGNOS,Full carrier phase; C/A; P; C,1.2,Y,NA,,0.35,NA,0.002,0.5,0.01,1,0.002,0.5,0.01,1,7,20,VRS; FKP; PRS; RTCM3,,SD Card,2000,SBF Raw data,Depends on Data Collector,,2 RS232,Y,N,Y,,Y,Y,Bluetooth or Cable,N,,version 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,version 2.3,NA,N,PC/Handheld,,NA
